"param","truth","mean","sd","q025","q975","bias","abs_bias","covered","method","xsd","eta_setting","rep"
"beta9",0,0.51524775435,0.610891953998833,-0.6431766,1.666289,0.51524775435,0.51524775435,TRUE,"Naive (ADVI)",1,0.4,2
"beta10",0,0.084737636956,0.450183601470059,-0.829640425,0.979816,0.084737636956,0.084737636956,TRUE,"Naive (ADVI)",1,0.4,2
"beta11",0,-0.54066664248,0.62031485978277,-1.750892,0.6352162,-0.54066664248,0.54066664248,TRUE,"Naive (ADVI)",1,0.4,2
"beta12",0,0.33055613946,0.444763331774136,-0.592240475,1.15374825,0.33055613946,0.33055613946,TRUE,"Naive (ADVI)",1,0.4,2
"beta13",0,0.149901932079,0.414120307590564,-0.667699925,0.975621775,0.149901932079,0.149901932079,TRUE,"Naive (ADVI)",1,0.4,2
"beta14",0,1.170938835142,0.699724964189418,-0.1779003,2.56348825,1.170938835142,1.170938835142,TRUE,"Naive (ADVI)",1,0.4,2
"beta15",0,0.84411755344,0.663727932596449,-0.417402175,2.1407035,0.84411755344,0.84411755344,TRUE,"Naive (ADVI)",1,0.4,2
"beta16",0,0.308029342179,0.477997473788861,-0.643275925,1.216193,0.308029342179,0.308029342179,TRUE,"Naive (ADVI)",1,0.4,2
"beta17",0,0.905840142089,0.712590317420777,-0.55061925,2.2629145,0.905840142089,0.905840142089,TRUE,"Naive (ADVI)",1,0.4,2
"beta18",0,-0.20370203733812,0.393667051757076,-0.9571215,0.56809675,-0.20370203733812,0.20370203733812,TRUE,"Naive (ADVI)",1,0.4,2
"beta19",0,0.840478080444,0.615411296279399,-0.276957525,2.053852,0.840478080444,0.840478080444,TRUE,"Naive (ADVI)",1,0.4,2
"beta20",0,0.78339510862,0.515677017094918,-0.209780575,1.8465645,0.78339510862,0.78339510862,TRUE,"Naive (ADVI)",1,0.4,2
"beta1",1,1.109444214,0.24011241208182,0.66721715,1.61465175,0.109444214,0.109444214,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta2",2,2.13836741,0.266301328446037,1.6128175,2.67315625,0.13836741,0.13836741,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta3",3,2.92027572,0.319773300223795,2.30249575,3.52247,-0.0797242800000002,0.0797242800000002,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta4",-4,-4.44060245,0.383538769143269,-5.185381,-3.670989,-0.44060245,0.44060245,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta5",-5,-6.04613427,0.490740653891696,-6.99015575,-5.02864925,-1.04613427,1.04613427,FALSE,"Proposed (ADVI)",0.5,0.4,1
"beta6",0,-0.0189721361904,0.234316594836056,-0.494616275,0.4204717,-0.0189721361904,0.0189721361904,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta7",0,0.452523483231,0.257076319458121,-0.051079415,0.94713705,0.452523483231,0.452523483231,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta8",0,-0.1639611999275,0.224259442826294,-0.5862453,0.28072705,-0.1639611999275,0.1639611999275,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta9",0,-0.28426037057,0.233615818643543,-0.751638425,0.1759348,-0.28426037057,0.28426037057,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta10",0,-0.0039605448021,0.230989652501027,-0.456307425,0.468962075,-0.0039605448021,0.0039605448021,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta11",0,-0.0617715532993,0.237807663900826,-0.52057855,0.37440345,-0.0617715532993,0.0617715532993,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta12",0,0.264454267781,0.245836637537935,-0.252469825,0.75591205,0.264454267781,0.264454267781,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta13",0,-0.169593225182,0.246777893283077,-0.63614795,0.313404825,-0.169593225182,0.169593225182,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta14",0,0.2259169764575,0.224243445684595,-0.230188125,0.639369075,0.2259169764575,0.2259169764575,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta15",0,0.405710813973,0.2419181130077,-0.07117824,0.885531225,0.405710813973,0.405710813973,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta16",0,-0.1138346401804,0.21857171476538,-0.51669335,0.325644575,-0.1138346401804,0.1138346401804,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta17",0,0.326189415407,0.263925232660678,-0.167815525,0.866430675,0.326189415407,0.326189415407,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta18",0,-0.13896472157,0.247849275611102,-0.631899775,0.340300475,-0.13896472157,0.13896472157,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta19",0,0.030872017507,0.221845215100951,-0.412594775,0.45192815,0.030872017507,0.030872017507,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta20",0,-0.065935005784,0.246384242648038,-0.54465965,0.4118192,-0.065935005784,0.065935005784,TRUE,"Proposed (ADVI)",0.5,0.4,1
"eta",0.4,0.3764581274,0.236005981033742,0.0941530025,0.954600825,-0.0235418726,0.0235418726,TRUE,"Proposed (ADVI)",0.5,0.4,1
"beta1",1,1.064251969,0.267191231053442,0.534410475,1.58124125,0.0642519690000001,0.0642519690000001,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta2",2,2.14670943,0.298988975255107,1.554637,2.7375865,0.14670943,0.14670943,TRUE,"Naive (ADVI)",0.5,0.4,1
