"param","truth","mean","sd","q025","q975","bias","abs_bias","covered","method","xsd"
"beta15",0,-0.41080774635,0.196954607034348,-0.808064225,-0.025158385,-0.41080774635,0.41080774635,FALSE,"Naive",0.5
"beta16",0,-0.200936935704,0.212733693129893,-0.6322085,0.220777225,-0.200936935704,0.200936935704,TRUE,"Naive",0.5
"beta17",0,-0.400706084629,0.22989675555286,-0.848222425,0.0444147175,-0.400706084629,0.400706084629,TRUE,"Naive",0.5
"beta18",0,0.213273811675,0.213907583293375,-0.20561025,0.639998275,0.213273811675,0.213273811675,TRUE,"Naive",0.5
"beta19",0,0.115151038652,0.218322479731135,-0.31506315,0.549618175,0.115151038652,0.115151038652,TRUE,"Naive",0.5
"beta20",0,0.0843818559148,0.222275366206138,-0.337575525,0.51277345,0.0843818559148,0.0843818559148,TRUE,"Naive",0.5
"beta1",1,0.855170564,0.244860215302282,0.39056325,1.36817925,-0.144829436,0.144829436,TRUE,"Proposed",0.5
"beta2",2,2.04180053,0.236093385858361,1.6025765,2.48873375,0.0418005300000002,0.0418005300000002,TRUE,"Proposed",0.5
"beta3",3,3.53436073,0.278408348777539,3.0287675,4.09745775,0.53436073,0.53436073,FALSE,"Proposed",0.5
"beta4",-4,-4.45340745,0.242373832847208,-4.92713575,-3.986156,-0.45340745,0.45340745,TRUE,"Proposed",0.5
"beta5",-5,-5.66015583,0.292615863659468,-6.22998125,-5.087352,-0.66015583,0.66015583,FALSE,"Proposed",0.5
"beta6",0,-0.24873307427,0.233276008928379,-0.7177783,0.201108875,-0.24873307427,0.24873307427,TRUE,"Proposed",0.5
"beta7",0,0.1385610644941,0.24705293850844,-0.3248572,0.6269194,0.1385610644941,0.1385610644941,TRUE,"Proposed",0.5
"beta8",0,-0.45501719255,0.236762826207204,-0.894820875,0.0129748899999998,-0.45501719255,0.45501719255,TRUE,"Proposed",0.5
"beta9",0,0.346381762225,0.234820986266598,-0.12209335,0.808983425,0.346381762225,0.346381762225,TRUE,"Proposed",0.5
"beta10",0,-0.369618013515,0.23448908124335,-0.8236417,0.0730715049999999,-0.369618013515,0.369618013515,TRUE,"Proposed",0.5
"beta11",0,0.175313004459,0.246303136774936,-0.312610525,0.668621475,0.175313004459,0.175313004459,TRUE,"Proposed",0.5
"beta12",0,0.247423957527,0.224732212519535,-0.1872822,0.670916075,0.247423957527,0.247423957527,TRUE,"Proposed",0.5
"beta13",0,0.016339853764,0.26811396313796,-0.5185264,0.51621105,0.016339853764,0.016339853764,TRUE,"Proposed",0.5
"beta14",0,0.2266861133136,0.226497289338232,-0.210167025,0.66195475,0.2266861133136,0.2266861133136,TRUE,"Proposed",0.5
"beta15",0,0.1237532011422,0.238737320389629,-0.336386975,0.594398175,0.1237532011422,0.1237532011422,TRUE,"Proposed",0.5
"beta16",0,-0.364585403744,0.22676475997835,-0.821701325,0.0552914825,-0.364585403744,0.364585403744,TRUE,"Proposed",0.5
"beta17",0,-0.203630644415,0.239067327523623,-0.657587625,0.256822975,-0.203630644415,0.203630644415,TRUE,"Proposed",0.5
"beta18",0,0.031939417541,0.225154461269179,-0.414102575,0.478616525,0.031939417541,0.031939417541,TRUE,"Proposed",0.5
"beta19",0,-0.138386088132,0.221353181647574,-0.562524375,0.2904545,-0.138386088132,0.138386088132,TRUE,"Proposed",0.5
"beta20",0,0.016126543074,0.254289079678501,-0.481737275,0.508726925,0.016126543074,0.016126543074,TRUE,"Proposed",0.5
"eta",0.4,0.4389173461,0.214661086565226,0.156659775,0.983399075,0.0389173461,0.0389173461,TRUE,"Proposed",0.5
"beta1",1,0.860260119,0.232720534815296,0.372797775,1.32012225,-0.139739881,0.139739881,TRUE,"Naive",0.5
"beta2",2,2.00895633,0.231351286703771,1.5441135,2.472595,0.00895633000000018,0.00895633000000018,TRUE,"Naive",0.5
"beta3",3,3.46214708,0.2522509961287,2.9743875,3.93626875,0.46214708,0.46214708,TRUE,"Naive",0.5
"beta4",-4,-4.33026458,0.27342630435519,-4.875142,-3.805483,-0.33026458,0.33026458,TRUE,"Naive",0.5
"beta5",-5,-5.49313783,0.315247379843655,-6.08581925,-4.86363475,-0.49313783,0.49313783,TRUE,"Naive",0.5
"beta6",0,-0.22683816905,0.218582024179207,-0.663430675,0.203594925,-0.22683816905,0.22683816905,TRUE,"Naive",0.5
"beta7",0,0.145940963334,0.223851128215059,-0.2986856,0.572468975,0.145940963334,0.145940963334,TRUE,"Naive",0.5
"beta8",0,-0.428134018112,0.217170823290135,-0.85282765,0.00395722949999979,-0.428134018112,0.428134018112,TRUE,"Naive",0.5
"beta9",0,0.25583721349,0.213460646606558,-0.158937325,0.66288465,0.25583721349,0.25583721349,TRUE,"Naive",0.5
"beta10",0,-0.45460412814,0.238670160290867,-0.912965625,0.0169151374999999,-0.45460412814,0.45460412814,TRUE,"Naive",0.5
"beta11",0,0.17797415181376,0.243115594567781,-0.260578625,0.660315625,0.17797415181376,0.17797415181376,TRUE,"Naive",0.5
"beta12",0,0.217482394926,0.236132688061695,-0.2562592,0.68103515,0.217482394926,0.217482394926,TRUE,"Naive",0.5
"beta13",0,0.0100433582455,0.223078872872089,-0.4404491,0.42831715,0.0100433582455,0.0100433582455,TRUE,"Naive",0.5
"beta14",0,0.330134623113,0.235735473149454,-0.128752875,0.791744475,0.330134623113,0.330134623113,TRUE,"Naive",0.5
"beta15",0,0.0925691395624,0.219198438412574,-0.3495529,0.52177295,0.0925691395624,0.0925691395624,TRUE,"Naive",0.5
"beta16",0,-0.418449969487,0.225976720749653,-0.87656895,0.02951658,-0.418449969487,0.418449969487,TRUE,"Naive",0.5
"beta17",0,-0.125422844795,0.240286276498009,-0.5931637,0.339813825,-0.125422844795,0.125422844795,TRUE,"Naive",0.5
"beta18",0,-0.026773386993,0.228216375024305,-0.473677475,0.428495675,-0.026773386993,0.026773386993,TRUE,"Naive",0.5
"beta19",0,-0.10510094939,0.231559182579805,-0.56139905,0.355707425,-0.10510094939,0.10510094939,TRUE,"Naive",0.5
"beta20",0,0.021831815481,0.226494382764802,-0.4081344,0.4583553,0.021831815481,0.021831815481,TRUE,"Naive",0.5
"beta1",1,0.91271325,0.247142754479331,0.443774875,1.4305,-0.08728675,0.08728675,TRUE,"Proposed",0.5
"beta2",2,2.11769953,0.24388151982426,1.663986,2.57937575,0.11769953,0.11769953,TRUE,"Proposed",0.5
"beta3",3,3.05793835,0.263174893797077,2.58000575,3.59022525,0.0579383500000001,0.0579383500000001,TRUE,"Proposed",0.5
"beta4",-4,-4.28967701,0.240051832139798,-4.75887525,-3.8268985,-0.28967701,0.28967701,TRUE,"Proposed",0.5
"beta5",-5,-4.78371804,0.280780073200833,-5.33049425,-4.23408625,0.21628196,0.21628196,TRUE,"Proposed",0.5
"beta6",0,-0.23091935073,0.236752195678346,-0.706954425,0.22562635,-0.23091935073,0.23091935073,TRUE,"Proposed",0.5
"beta7",0,-0.0530208990682,0.23823488389391,-0.4998987,0.417906775,-0.0530208990682,0.0530208990682,TRUE,"Proposed",0.5
"beta8",0,-0.135773013164,0.257009606568921,-0.613186125,0.372239825,-0.135773013164,0.135773013164,TRUE,"Proposed",0.5
"beta9",0,0.380573645861,0.222086893946686,-0.0624961425,0.818088225,0.380573645861,0.380573645861,TRUE,"Proposed",0.5
"beta10",0,0.088560303017,0.22490678481087,-0.3469093,0.513159475,0.088560303017,0.088560303017,TRUE,"Proposed",0.5
"beta11",0,0.144632384527,0.21768714597071,-0.28660385,0.58062725,0.144632384527,0.144632384527,TRUE,"Proposed",0.5
"beta12",0,0.336367646078,0.209321653803659,-0.0685293075,0.7308202,0.336367646078,0.336367646078,TRUE,"Proposed",0.5
"beta13",0,0.155466881278,0.255366155505108,-0.35396855,0.631570625,0.155466881278,0.155466881278,TRUE,"Proposed",0.5
"beta14",0,0.07264688427,0.219354607191937,-0.3504306,0.494189325,0.07264688427,0.07264688427,TRUE,"Proposed",0.5
"beta15",0,0.53771806382,0.226565377624498,0.101038475,0.984366625,0.53771806382,0.53771806382,FALSE,"Proposed",0.5
"beta16",0,-0.1256318099586,0.222165089747391,-0.573475875,0.28572815,-0.1256318099586,0.1256318099586,TRUE,"Proposed",0.5
"beta17",0,0.19271993456,0.233011218684862,-0.24973735,0.641509525,0.19271993456,0.19271993456,TRUE,"Proposed",0.5
"beta18",0,0.0263271286644,0.227260898127136,-0.42388695,0.4771829,0.0263271286644,0.0263271286644,TRUE,"Proposed",0.5
"beta19",0,-0.48377357107,0.222154300272527,-0.9094466,-0.053380595,-0.48377357107,0.48377357107,FALSE,"Proposed",0.5
"beta20",0,-0.31118704807,0.231777044499872,-0.764975525,0.1378035,-0.31118704807,0.31118704807,TRUE,"Proposed",0.5
"eta",0.4,0.2691608307,0.204210325212045,0.05513584,0.82061835,-0.1308391693,0.1308391693,TRUE,"Proposed",0.5
"beta1",1,0.979365392,0.238111665968853,0.4806106,1.449882,-0.0206346079999999,0.0206346079999999,TRUE,"Naive",0.5
"beta2",2,2.11021234,0.238371258949181,1.631266,2.5879155,0.11021234,0.11021234,TRUE,"Naive",0.5
"beta3",3,3.06344508,0.237211999328911,2.6047595,3.509296,0.0634450800000002,0.0634450800000002,TRUE,"Naive",0.5
