"method","eta_setting","rep","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Proposed Method (ADVI)",0.4,7,"beta16",0,-0.191364901112,0.15069322181008,-0.4766143,0.11768185,-0.191364901112,0.191364901112,TRUE
"Proposed Method (ADVI)",0.4,7,"beta17",0,0.055481769794,0.191983553103968,-0.30114695,0.444220625,0.055481769794,0.055481769794,TRUE
"Proposed Method (ADVI)",0.4,7,"beta18",0,0.38168496997,0.188904305265952,0.0187392125,0.741853225,0.38168496997,0.38168496997,FALSE
"Proposed Method (ADVI)",0.4,7,"beta19",0,0.057265165675,0.179112652135045,-0.307935925,0.3997073,0.057265165675,0.057265165675,TRUE
"Proposed Method (ADVI)",0.4,7,"beta20",0,0.300247327046,0.165540385137389,-0.0276752425,0.619747225,0.300247327046,0.300247327046,TRUE
"Proposed Method (ADVI)",0.4,7,"eta",0.4,1.055310228,0.319511681429459,0.564087025,1.756787,0.655310228,0.655310228,FALSE
"Naive Method (ADVI)",0.4,8,"beta1",1,0.8078117593818,0.421563443370515,-0.0234897925,1.6215265,-0.1921882406182,0.1921882406182,TRUE
"Naive Method (ADVI)",0.4,8,"beta2",2,-0.230470761492,0.742067523903981,-1.653624,1.2082335,-2.230470761492,2.230470761492,FALSE
"Naive Method (ADVI)",0.4,8,"beta3",3,0.76976509865,0.672880084099563,-0.578753125,2.09054225,-2.23023490135,2.23023490135,FALSE
"Naive Method (ADVI)",0.4,8,"beta4",-4,-1.85488254377,0.614198383265799,-3.0543945,-0.69611715,2.14511745623,2.14511745623,FALSE
"Naive Method (ADVI)",0.4,8,"beta5",-5,-2.0886810396,0.737862826466338,-3.5882485,-0.588619375,2.9113189604,2.9113189604,FALSE
"Naive Method (ADVI)",0.4,8,"beta6",0,-1.10399810194,0.559976115007492,-2.226707,-0.0174146350000001,-1.10399810194,1.10399810194,FALSE
"Naive Method (ADVI)",0.4,8,"beta7",0,0.006659295172,0.398359243996126,-0.732144275,0.777339275,0.006659295172,0.006659295172,TRUE
"Naive Method (ADVI)",0.4,8,"beta8",0,0.15489943782,0.396784835096651,-0.635810825,0.933533475,0.15489943782,0.15489943782,TRUE
"Naive Method (ADVI)",0.4,8,"beta9",0,0.5961666748427,0.569014396154871,-0.496611125,1.68588975,0.5961666748427,0.5961666748427,TRUE
"Naive Method (ADVI)",0.4,8,"beta10",0,-0.096748522469,0.416189916734025,-0.975641825,0.70527805,-0.096748522469,0.096748522469,TRUE
"Naive Method (ADVI)",0.4,8,"beta11",0,-0.548073877198,0.611118158908642,-1.735093,0.6196055,-0.548073877198,0.548073877198,TRUE
"Naive Method (ADVI)",0.4,8,"beta12",0,0.16533579351,0.510183123836195,-0.857821225,1.11439975,0.16533579351,0.16533579351,TRUE
"Naive Method (ADVI)",0.4,8,"beta13",0,-0.031646554484,0.432642102241001,-0.86973185,0.824038225,-0.031646554484,0.031646554484,TRUE
