"eta_true","mode","fixed_X","rep","eta_hat","abs_bias","disease_rate"
0.4,"parallel2000",TRUE,3,0.727590742152719,0.327590742152719,0.503333333333333
0.4,"parallel2000",TRUE,4,-0.164300126029397,0.564300126029397,0.482222222222222
0.4,"parallel2000",TRUE,5,-0.179931913733461,0.579931913733461,0.483333333333333
0.4,"parallel2000",TRUE,6,0.371661056051917,0.0283389439480826,0.498888888888889
0.4,"parallel2000",TRUE,7,1.23344931690658,0.833449316906583,0.511111111111111
0.4,"parallel2000",TRUE,8,0.605405176895506,0.205405176895506,0.505555555555556
0.4,"parallel2000",TRUE,9,0.931849151127264,0.531849151127264,0.518888888888889
0.4,"parallel2000",TRUE,10,0.743530358159693,0.343530358159693,0.506666666666667
0.4,"parallel2000",TRUE,11,0.472897608866586,0.0728976088665859,0.502222222222222
0.4,"parallel2000",TRUE,12,0.515410338827598,0.115410338827598,0.503333333333333
0.4,"parallel2000",TRUE,13,0.447276098067286,0.0472760980672864,0.506666666666667
0.4,"parallel2000",TRUE,14,0.52207504966506,0.12207504966506,0.502222222222222
0.4,"parallel2000",TRUE,15,0.553731597897445,0.153731597897445,0.497777777777778
0.4,"parallel2000",TRUE,16,-0.0221286584853963,0.422128658485396,0.491111111111111
0.4,"parallel2000",TRUE,17,0.82252139275357,0.42252139275357,0.51
0.4,"parallel2000",TRUE,18,0.634998289473197,0.234998289473197,0.503333333333333
0.4,"parallel2000",TRUE,19,0.978709234890083,0.578709234890083,0.506666666666667
0.4,"parallel2000",TRUE,20,0.335511872377812,0.0644881276221881,0.503333333333333
0.4,"parallel2000",TRUE,21,0.885748003594835,0.485748003594835,0.504444444444444
0.4,"parallel2000",TRUE,22,0.547424965207406,0.147424965207406,0.502222222222222
0.4,"parallel2000",TRUE,23,0.94570178136102,0.54570178136102,0.503333333333333
0.4,"parallel2000",TRUE,24,0.232089427229137,0.167910572770863,0.49
0.4,"parallel2000",TRUE,25,-0.213487778821242,0.613487778821242,0.483333333333333
0.4,"parallel2000",TRUE,26,0.934326323246094,0.534326323246094,0.511111111111111
0.4,"parallel2000",TRUE,27,1.03058184322348,0.630581843223476,0.511111111111111
0.4,"parallel2000",TRUE,28,0.60931815758443,0.20931815758443,0.502222222222222
