"table","group","metric","method","param","target","candidate","value","ratio","abs_log_error","parameter_class"
"C4","Proposed Method (ADVI)|0.4|0.1|beta2","SEM","Proposed Method (ADVI)","beta2",0.045,"mean_posterior_sd",0.10677,2.37262,0.864,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta3","SEE","Proposed Method (ADVI)","beta3",0.046,"mean_abs_error",0.11601,2.52206,0.92508,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta3","SEM","Proposed Method (ADVI)","beta3",0.045,"mean_posterior_variance",0.01779,0.39527,0.92818,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta4","SEE","Proposed Method (ADVI)","beta4",0.057,"mean_abs_error",0.1575,2.76311,1.01636,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta4","SEM","Proposed Method (ADVI)","beta4",0.054,"mean_posterior_variance",0.02492,0.46155,0.77317,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta5","SEE","Proposed Method (ADVI)","beta5",0.063,"mean_abs_error",0.19294,3.06251,1.11923,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta5","SEM","Proposed Method (ADVI)","beta5",0.063,"mean_posterior_variance",0.03859,0.61248,0.49024,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|eta","SEE","Proposed Method (ADVI)","eta",0.022,"mean_abs_error_se_mean",0.02357,1.07123,0.06881,"eta"
"C4","Proposed Method (ADVI)|0.4|0.1|eta","SEM","Proposed Method (ADVI)","eta",0.022,"sqrt_mean_posterior_variance_over_n",0.017,0.7727,0.25786,"eta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta1","SEE","Proposed Method (ADVI)","beta1",0.032,"mean_abs_error",0.05545,1.7327,0.54968,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta1","SEM","Proposed Method (ADVI)","beta1",0.033,"mean_posterior_sd",0.07445,2.25596,0.81358,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta2","SEE","Proposed Method (ADVI)","beta2",0.059,"mean_abs_error",0.08554,1.44985,0.37146,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta2","SEM","Proposed Method (ADVI)","beta2",0.059,"mean_posterior_sd",0.10645,1.80423,0.59014,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta3","SEE","Proposed Method (ADVI)","beta3",0.048,"mean_abs_error",0.10503,2.18823,0.78309,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta3","SEM","Proposed Method (ADVI)","beta3",0.047,"mean_posterior_variance",0.01773,0.37719,0.97501,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta4","SEE","Proposed Method (ADVI)","beta4",0.049,"mean_abs_error",0.1445,2.94898,1.08146,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta4","SEM","Proposed Method (ADVI)","beta4",0.045,"mean_posterior_variance",0.02491,0.55356,0.59139,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta5","SEE","Proposed Method (ADVI)","beta5",0.063,"mean_abs_error",0.17078,2.71074,0.99722,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|beta5","SEM","Proposed Method (ADVI)","beta5",0.059,"mean_posterior_variance",0.03841,0.65096,0.42931,"beta"
"C4","Proposed Method (ADVI)|0.4|0.4|eta","SEE","Proposed Method (ADVI)","eta",0.029,"empirical_se_mean",0.02858,0.98557,0.01453,"eta"
"C4","Proposed Method (ADVI)|0.4|0.4|eta","SEM","Proposed Method (ADVI)","eta",0.026,"sqrt_mean_posterior_variance_over_n",0.01742,0.6701,0.40032,"eta"
"C5-C6","Missing first-pass (ADVI)|10 Missing Spots|beta1","SEE","Missing first-pass (ADVI)","beta1",0.043,"rmse_se_mean",0.01521,0.35369,1.03932,"beta"
"C5-C6","Missing first-pass (ADVI)|10 Missing Spots|beta1","SEM","Missing first-pass (ADVI)","beta1",0.043,"mean_posterior_variance",0.03389,0.78823,0.23797,"beta"
"C5-C6","Missing first-pass (ADVI)|10 Missing Spots|beta2","SEE","Missing first-pass (ADVI)","beta2",0.056,"rmse_se_mean",0.02287,0.40835,0.89563,"beta"
