"eta_true","rep","centered","eta_hat","abs_bias"
0.4,56,TRUE,1.39031788671275,0.990317886712752
0.4,57,FALSE,-0.136389988264654,0.536389988264654
0.4,57,TRUE,-1.30770200577673,1.70770200577673
0.4,58,FALSE,0.706771772041273,0.306771772041273
0.4,58,TRUE,1.10440122167995,0.70440122167995
0.4,59,FALSE,0.246191248963605,0.153808751036395
0.4,59,TRUE,0.22380329478048,0.17619670521952
0.4,60,FALSE,0.118861011324063,0.281138988675937
0.4,60,TRUE,-0.319022270663168,0.719022270663168
0.4,61,FALSE,0.382827773544451,0.0171722264555489
0.4,61,TRUE,0.0271970320719733,0.372802967928027
0.4,62,FALSE,0.119312573218162,0.280687426781839
0.4,62,TRUE,0.285363270826832,0.114636729173168
0.4,63,FALSE,-0.0484626841962015,0.448462684196201
0.4,63,TRUE,0.327760022664345,0.0722399773356553
0.4,64,FALSE,0.386187702490257,0.0138122975097427
0.4,64,TRUE,-1.13601490870736,1.53601490870736
0.4,65,FALSE,0.568431240421144,0.168431240421144
0.4,65,TRUE,-0.0587009800974598,0.45870098009746
0.4,66,FALSE,0.441586920826753,0.0415869208267529
0.4,66,TRUE,1.18777986169788,0.787779861697876
0.4,67,FALSE,0.752093133106108,0.352093133106108
0.4,67,TRUE,2.2190226020258,1.8190226020258
0.4,68,FALSE,0.730232356075748,0.330232356075748
0.4,68,TRUE,1.34478923108224,0.944789231082235
0.4,69,FALSE,0.029731884577155,0.370268115422845
0.4,69,TRUE,0.0112827865228954,0.388717213477105
0.4,70,FALSE,0.67442572102852,0.27442572102852
0.4,70,TRUE,-0.1402545913462,0.5402545913462
0.4,71,FALSE,0.219452907631076,0.180547092368924
0.4,71,TRUE,0.0518318064134631,0.348168193586537
0.4,72,FALSE,0.549747360674041,0.149747360674041
0.4,72,TRUE,1.59194020384452,1.19194020384452
0.4,73,FALSE,0.472977432443624,0.0729774324436235
0.4,73,TRUE,0.549857908504037,0.149857908504037
0.4,74,FALSE,0.593928250203403,0.193928250203403
0.4,74,TRUE,1.75350642837301,1.35350642837301
0.4,75,FALSE,0.471907678884921,0.0719076788849214
0.4,75,TRUE,0.203195530533888,0.196804469466112
0.4,76,FALSE,0.390165540952699,0.0098344590473009
0.4,76,TRUE,-0.852121166679339,1.25212116667934
0.4,77,FALSE,0.616386850234696,0.216386850234696
0.4,77,TRUE,1.15719938940859,0.757199389408588
0.4,78,FALSE,0.460265991147762,0.0602659911477617
0.4,78,TRUE,-0.0396125729442799,0.43961257294428
0.4,79,FALSE,0.265959366026387,0.134040633973613
0.4,79,TRUE,1.36868641005465,0.968686410054651
0.4,80,FALSE,0.179633631508925,0.220366368491075
0.4,80,TRUE,0.946426225096379,0.546426225096379
0.4,81,FALSE,0.485415785015824,0.0854157850158239
0.4,81,TRUE,0.528848418472493,0.128848418472493
0.4,82,FALSE,0.142445128578732,0.257554871421268
0.4,82,TRUE,0.267679024505006,0.132320975494994
0.4,83,FALSE,0.93379997164963,0.533799971649629
0.4,83,TRUE,0.616896583503657,0.216896583503657
0.4,84,FALSE,0.242934653287198,0.157065346712802
0.4,84,TRUE,-0.84141717168884,1.24141717168884
0.4,85,FALSE,0.862425444985581,0.462425444985581
0.4,85,TRUE,0.178416807537951,0.221583192462049
0.4,86,FALSE,0.905182036636439,0.505182036636439
0.4,86,TRUE,2.07238860943676,1.67238860943676
0.4,87,FALSE,0.605700418766401,0.205700418766401
0.4,87,TRUE,0.384553601810825,0.0154463981891746
0.4,88,FALSE,0.935216673544196,0.535216673544196
0.4,88,TRUE,1.27240779406917,0.872407794069167
0.4,89,FALSE,0.393716010741684,0.00628398925831619
0.4,89,TRUE,1.11622532645699,0.716225326456993
0.4,90,FALSE,0.383194339869113,0.0168056601308865
0.4,90,TRUE,-0.412123637340291,0.812123637340291
0.4,91,FALSE,0.283441164092901,0.116558835907099
0.4,91,TRUE,1.59533950715167,1.19533950715167
0.4,92,FALSE,0.299250506686497,0.100749493313503
0.4,92,TRUE,0.060144381458405,0.339855618541595
0.4,93,FALSE,-0.513123625967128,0.913123625967128
0.4,93,TRUE,-0.384479015488297,0.784479015488297
0.4,94,FALSE,0.414013154113691,0.0140131541136915
0.4,94,TRUE,-0.547162339695978,0.947162339695978
0.4,95,FALSE,0.764294390080598,0.364294390080598
0.4,95,TRUE,1.23790070415184,0.837900704151843
0.4,96,FALSE,0.490318333199143,0.0903183331991428
0.4,96,TRUE,0.65402459135014,0.254024591350139
0.4,97,FALSE,0.517906097503614,0.117906097503614
0.4,97,TRUE,-0.139549924663113,0.539549924663113
0.4,98,FALSE,0.371526858983577,0.0284731410164235
0.4,98,TRUE,-0.124773260739753,0.524773260739753
0.4,99,FALSE,0.715174673687851,0.315174673687851
0.4,99,TRUE,1.57781150200828,1.17781150200828
0.4,100,FALSE,0.36291943906743,0.0370805609325702
0.4,100,TRUE,0.614550624089158,0.214550624089158
0.4,101,FALSE,0.473369921033997,0.0733699210339968
0.4,101,TRUE,1.26386321055233,0.863863210552328
0.4,102,FALSE,1.04122738822837,0.641227388228369
0.4,102,TRUE,0.876191871749266,0.476191871749266
0.4,103,FALSE,0.638614677574095,0.238614677574095
0.4,103,TRUE,0.49009932176581,0.0900993217658097
0.4,104,FALSE,0.394401261797737,0.00559873820226298
0.4,104,TRUE,-0.403621866550919,0.803621866550919
0.4,105,FALSE,0.710797234710716,0.310797234710716
0.4,105,TRUE,1.16478158247792,0.764781582477921
0.4,106,FALSE,1.21325574938148,0.813255749381475
0.4,106,TRUE,2.19500158286197,1.79500158286197
0.4,107,FALSE,0.825906022191275,0.425906022191275
0.4,107,TRUE,0.983381101830576,0.583381101830576
0.4,108,FALSE,0.497513437566544,0.0975134375665443
0.4,108,TRUE,0.49239239412344,0.0923923941234396
0.4,109,FALSE,-0.0278389743347552,0.427838974334755
0.4,109,TRUE,-0.315892644904554,0.715892644904554
0.4,110,FALSE,0.316743297863138,0.083256702136862
0.4,110,TRUE,0.15944187689176,0.24055812310824
0.4,111,FALSE,0.188670830208696,0.211329169791304
0.4,111,TRUE,-0.443128356014133,0.843128356014133
0.4,112,FALSE,-0.25050532759206,0.65050532759206
0.4,112,TRUE,-0.501108163279877,0.901108163279877
0.4,113,FALSE,-0.17286973732823,0.57286973732823
0.4,113,TRUE,-0.941564179275425,1.34156417927543
0.4,114,FALSE,-0.199939495993558,0.599939495993558
0.4,114,TRUE,-0.424429843630819,0.82442984363082
