"eta_true","rep","covariate","eta_hat","eta_abs_bias","beta1_hat","beta2_hat","beta3_hat","beta4_hat","beta5_hat"
0.4,65,"avg",0.568431240421144,0.168431240421144,1.25049108097768,2.5310171368798,3.27046121211703,-4.63553419704962,-5.9968734275076
0.4,65,"sum",0.137171825867229,0.262828174132771,1.24692597010721,2.52859210143136,3.26407781884241,-4.62716679478833,-5.98982117028751
0.4,66,"avg",0.441586920826753,0.0415869208267529,1.16522342069606,2.46055098167432,3.34391946859132,-4.39223558258094,-5.94340013848775
0.4,66,"sum",0.107333394689354,0.292666605310646,1.16285621568766,2.46072760574441,3.34025624464531,-4.39137471651168,-5.94178150690541
0.4,67,"avg",0.752093133106108,0.352093133106108,0.84910224565864,2.07482714331327,3.06691660020045,-4.18723958819362,-5.4450842173923
0.4,67,"sum",0.190035981383531,0.209964018616469,0.849414648240235,2.06999170058511,3.0567765491996,-4.18096242225106,-5.43747876360414
0.4,68,"avg",0.730232356075748,0.330232356075748,1.35268551292738,2.27751491949131,3.21699649634698,-4.56200460645794,-5.71152282325811
0.4,68,"sum",0.196696375738168,0.203303624261832,1.35260318548227,2.28157727322147,3.22132936835953,-4.57039372706534,-5.73172920558803
0.4,69,"avg",0.029731884577155,0.370268115422845,0.955106491959292,1.6088486107043,3.16511596297921,-4.04036351253603,-4.99554989536236
0.4,69,"sum",0.0102864913197905,0.38971350868021,0.955936895455357,1.60907740261229,3.16522584193646,-4.04106588604992,-4.99561349414932
0.4,70,"avg",0.67442572102852,0.27442572102852,0.676279283067591,2.0322144292401,2.76534282450506,-3.62960493705661,-4.92383341484419
0.4,70,"sum",0.171803606231492,0.228196393768508,0.674635441811371,2.03054630782251,2.7653958098495,-3.63033711760458,-4.92258967233523
0.4,71,"avg",0.219452907631076,0.180547092368924,1.08835793728311,1.9105530918504,3.05945643833031,-4.27748698613132,-5.37751232754506
0.4,71,"sum",0.0594217229743949,0.340578277025605,1.08850168671935,1.91103853636796,3.05956833428531,-4.27757114705626,-5.37948581882664
0.4,72,"avg",0.549747360674041,0.149747360674041,0.930851949345279,2.92068748668775,3.78092350901959,-5.15175026926581,-6.22559567360441
0.4,72,"sum",0.133810453554232,0.266189546445768,0.930588127376255,2.91751187655654,3.78014147140142,-5.1482775737053,-6.22066600813468
0.4,73,"avg",0.472977432443624,0.0729774324436235,0.995616912073284,2.40836507322103,3.67152824403808,-5.1017791143041,-6.22767467152927
0.4,73,"sum",0.115214312008075,0.284785687991925,0.998092075831467,2.40535578120077,3.66619322370073,-5.09397760216813,-6.21776767939499
0.4,74,"avg",0.593928250203403,0.193928250203403,1.23440988042484,2.24474884598366,3.55583757741328,-4.05872085291244,-5.22958454658952
0.4,74,"sum",0.151919033187105,0.248080966812895,1.2368426181173,2.24519005457546,3.55525548953846,-4.06114001162102,-5.23124926401384
0.4,75,"avg",0.471907678884921,0.0719076788849214,0.954152379957976,1.99195093067246,3.24249147039026,-4.10945502861664,-5.58068426427952
0.4,75,"sum",0.121319308975661,0.278680691024339,0.955657052469905,1.98941138373412,3.24507028769567,-4.10949562508349,-5.58074968689545
0.4,76,"avg",0.390165540952699,0.0098344590473009,0.903087196060328,2.50024931511752,3.1411073816004,-4.73972849895746,-5.85374663541425
0.4,76,"sum",0.0935084886000547,0.306491511399945,0.898731409064173,2.49935460867557,3.13389826870309,-4.73521513431796,-5.84781549943148
0.4,77,"avg",0.616386850234696,0.216386850234696,1.47821617879705,2.27466685464372,3.43536024207377,-4.58529561244793,-5.8837905591659
0.4,77,"sum",0.154186044054832,0.245813955945168,1.47503925384957,2.27649358706759,3.43626588740118,-4.58424738124699,-5.88348301343485
0.4,78,"avg",0.460265991147762,0.0602659911477617,1.16433033913917,1.67816451570625,2.78292384962381,-3.61899654306134,-4.74855779761635
0.4,78,"sum",0.115691799334477,0.284308200665523,1.16417794865016,1.67805771686509,2.78049335256095,-3.61621390609857,-4.7432779687041
0.4,79,"avg",0.265959366026387,0.134040633973613,1.29495174997688,1.88647168826553,2.94502638672792,-4.26519449736506,-5.02783888735472
0.4,79,"sum",0.0690183014147058,0.330981698585294,1.29513185356998,1.88611824068493,2.94525235300005,-4.26555308153859,-5.02723163949129
0.4,80,"avg",0.179633631508925,0.220366368491075,0.884194588231556,2.2004376634778,3.02818163319479,-4.3421178811604,-5.46707097587473
0.4,80,"sum",0.0460656747413419,0.353934325258658,0.88353411074281,2.20045306202762,3.02943697266922,-4.34313637081085,-5.46809514032197
0.4,81,"avg",0.485415785015824,0.0854157850158239,1.27812925526396,2.07905231253771,3.4868320228672,-4.55489096224306,-5.53769654298902
0.4,81,"sum",0.11002957477145,0.28997042522855,1.27369266527814,2.07592349234111,3.48232998661229,-4.55186757813458,-5.54078175533692
0.4,82,"avg",0.142445128578732,0.257554871421268,1.15134078179069,2.78176124398819,3.90212860907775,-5.56814649287843,-6.25990786578434
0.4,82,"sum",0.0513210911637579,0.348678908836242,1.15431962928336,2.78160441478037,3.90903048287647,-5.58017075755374,-6.27104264172907
0.4,83,"avg",0.93379997164963,0.533799971649629,0.877202355352513,2.21979257600966,3.34772097010513,-4.41655605936571,-5.51204195358593
