"xsd","eta_setting","method","param","avgBias","avgSEE","avgSEM","avgCI","n"
0.5,0.4,"Naive (ADVI)","beta2",0.701,1.052,0.393,0.76,50
1,0.4,"Naive (ADVI)","beta2",1.479,1.193,0.538,0.38,50
0.5,0.4,"Proposed (ADVI)","beta2",0.279,0.295,0.275,0.86,50
1,0.4,"Proposed (ADVI)","beta2",0.234,0.181,0.24,0.94,50
0.5,0.4,"Naive (ADVI)","beta20",0.325,0.409,0.325,0.94,50
1,0.4,"Naive (ADVI)","beta20",0.511,0.417,0.408,1,50
0.5,0.4,"Proposed (ADVI)","beta20",0.209,0.264,0.238,0.94,50
1,0.4,"Proposed (ADVI)","beta20",0.126,0.159,0.168,0.96,50
0.5,0.4,"Naive (ADVI)","beta3",0.741,1.075,0.385,0.7,50
1,0.4,"Naive (ADVI)","beta3",1.493,1.219,0.522,0.38,50
0.5,0.4,"Proposed (ADVI)","beta3",0.315,0.311,0.32,0.92,50
1,0.4,"Proposed (ADVI)","beta3",0.333,0.264,0.321,0.92,50
0.5,0.4,"Naive (ADVI)","beta4",0.832,1.153,0.45,0.68,50
1,0.4,"Naive (ADVI)","beta4",1.443,1.2,0.533,0.36,50
0.5,0.4,"Proposed (ADVI)","beta4",0.459,0.403,0.377,0.8,50
1,0.4,"Proposed (ADVI)","beta4",0.448,0.305,0.401,0.92,50
0.5,0.4,"Naive (ADVI)","beta5",1.069,1.48,0.489,0.62,50
1,0.4,"Naive (ADVI)","beta5",1.967,1.654,0.636,0.34,50
0.5,0.4,"Proposed (ADVI)","beta5",0.622,0.502,0.457,0.84,50
1,0.4,"Proposed (ADVI)","beta5",0.602,0.341,0.493,0.86,50
0.5,0.4,"Naive (ADVI)","beta6",0.382,0.482,0.336,0.96,50
1,0.4,"Naive (ADVI)","beta6",0.714,0.521,0.446,0.88,50
0.5,0.4,"Proposed (ADVI)","beta6",0.19,0.243,0.24,0.94,50
1,0.4,"Proposed (ADVI)","beta6",0.147,0.182,0.168,0.9,50
0.5,0.4,"Naive (ADVI)","beta7",0.175,0.224,0.288,0.98,50
1,0.4,"Naive (ADVI)","beta7",0.145,0.179,0.315,0.98,50
0.5,0.4,"Proposed (ADVI)","beta7",0.19,0.235,0.257,0.98,50
1,0.4,"Proposed (ADVI)","beta7",0.151,0.193,0.184,0.92,50
0.5,0.4,"Naive (ADVI)","beta8",0.197,0.246,0.285,0.98,50
1,0.4,"Naive (ADVI)","beta8",0.141,0.166,0.312,1,50
0.5,0.4,"Proposed (ADVI)","beta8",0.197,0.237,0.233,0.98,50
1,0.4,"Proposed (ADVI)","beta8",0.124,0.152,0.163,0.98,50
0.5,0.4,"Naive (ADVI)","beta9",0.297,0.345,0.335,0.98,50
1,0.4,"Naive (ADVI)","beta9",0.399,0.268,0.427,1,50
0.5,0.4,"Proposed (ADVI)","beta9",0.213,0.251,0.246,0.96,50
1,0.4,"Proposed (ADVI)","beta9",0.121,0.155,0.177,1,50
0.5,0.4,"Proposed (ADVI)","eta",0.13,0.178,0.23,0.92,50
1,0.4,"Proposed (ADVI)","eta",0.248,0.266,0.309,0.84,50
