"setting","sigma2","rho","rep","method","seconds"
"sigma2=0.4,rho=0.4",0.4,0.4,27,"Proposed Method (ADVI)",1.98299999999995
"sigma2=0.4,rho=0.4",0.4,0.4,28,"Proposed Method (ADVI)",1.99099999999999
"sigma2=0.4,rho=0.4",0.4,0.4,29,"Proposed Method (ADVI)",1.91599999999994
"sigma2=0.4,rho=0.4",0.4,0.4,30,"Proposed Method (ADVI)",1.93100000000004
"sigma2=0.4,rho=0.4",0.4,0.4,31,"Proposed Method (ADVI)",1.96599999999989
"sigma2=0.4,rho=0.4",0.4,0.4,32,"Proposed Method (ADVI)",1.92200000000003
"sigma2=0.4,rho=0.4",0.4,0.4,33,"Proposed Method (ADVI)",1.94600000000014
"sigma2=0.4,rho=0.4",0.4,0.4,34,"Proposed Method (ADVI)",1.92899999999986
"sigma2=0.4,rho=0.4",0.4,0.4,35,"Proposed Method (ADVI)",2.00900000000001
"sigma2=0.4,rho=0.4",0.4,0.4,36,"Proposed Method (ADVI)",1.94200000000001
"sigma2=0.4,rho=0.4",0.4,0.4,37,"Proposed Method (ADVI)",1.94499999999994
"sigma2=0.4,rho=0.4",0.4,0.4,38,"Proposed Method (ADVI)",1.95100000000002
"sigma2=0.4,rho=0.4",0.4,0.4,39,"Proposed Method (ADVI)",2.00800000000004
"sigma2=0.4,rho=0.4",0.4,0.4,40,"Proposed Method (ADVI)",2.04199999999992
"sigma2=0.4,rho=0.4",0.4,0.4,41,"Proposed Method (ADVI)",1.97299999999996
"sigma2=0.4,rho=0.4",0.4,0.4,42,"Proposed Method (ADVI)",1.95800000000008
"sigma2=0.4,rho=0.4",0.4,0.4,43,"Proposed Method (ADVI)",2.01800000000003
"sigma2=0.4,rho=0.4",0.4,0.4,44,"Proposed Method (ADVI)",2.13400000000001
"sigma2=0.4,rho=0.4",0.4,0.4,45,"Proposed Method (ADVI)",2.03399999999988
"sigma2=0.4,rho=0.4",0.4,0.4,46,"Proposed Method (ADVI)",2.03400000000011
"sigma2=0.4,rho=0.4",0.4,0.4,47,"Proposed Method (ADVI)",2.03399999999988
"sigma2=0.4,rho=0.4",0.4,0.4,48,"Proposed Method (ADVI)",2.02400000000011
"sigma2=0.4,rho=0.4",0.4,0.4,49,"Proposed Method (ADVI)",2.04700000000003
"sigma2=0.4,rho=0.4",0.4,0.4,50,"Proposed Method (ADVI)",2.03999999999996
"sigma2=0.4,rho=0.4",0.4,0.4,51,"Proposed Method (ADVI)",2.04399999999987
"sigma2=0.4,rho=0.4",0.4,0.4,52,"Proposed Method (ADVI)",2.13100000000009
"sigma2=0.4,rho=0.4",0.4,0.4,53,"Proposed Method (ADVI)",2.096
"sigma2=0.4,rho=0.4",0.4,0.4,54,"Proposed Method (ADVI)",2.02700000000004
"sigma2=0.4,rho=0.4",0.4,0.4,55,"Proposed Method (ADVI)",2.02700000000004
"sigma2=0.4,rho=0.4",0.4,0.4,56,"Proposed Method (ADVI)",2.03600000000006
"sigma2=0.4,rho=0.4",0.4,0.4,57,"Proposed Method (ADVI)",2.02800000000002
"sigma2=0.4,rho=0.4",0.4,0.4,58,"Proposed Method (ADVI)",2.02299999999991
"sigma2=0.4,rho=0.4",0.4,0.4,59,"Proposed Method (ADVI)",2.07999999999993
"sigma2=0.4,rho=0.4",0.4,0.4,60,"Proposed Method (ADVI)",2.07500000000005
"sigma2=0.4,rho=0.4",0.4,0.4,61,"Proposed Method (ADVI)",2.00900000000001
"sigma2=0.4,rho=0.4",0.4,0.4,62,"Proposed Method (ADVI)",2.03599999999983
"sigma2=0.4,rho=0.4",0.4,0.4,63,"Proposed Method (ADVI)",2.02700000000004
"sigma2=0.4,rho=0.4",0.4,0.4,64,"Proposed Method (ADVI)",2.01900000000001
"sigma2=0.4,rho=0.4",0.4,0.4,65,"Proposed Method (ADVI)",1.97700000000009
"sigma2=0.4,rho=0.4",0.4,0.4,66,"Proposed Method (ADVI)",1.94499999999994
"sigma2=0.4,rho=0.4",0.4,0.4,67,"Proposed Method (ADVI)",1.94600000000014
"sigma2=0.4,rho=0.4",0.4,0.4,68,"Proposed Method (ADVI)",1.9670000000001
"sigma2=0.4,rho=0.4",0.4,0.4,69,"Proposed Method (ADVI)",2.18100000000004
"sigma2=0.4,rho=0.4",0.4,0.4,70,"Proposed Method (ADVI)",2.34699999999998
"sigma2=0.4,rho=0.4",0.4,0.4,71,"Proposed Method (ADVI)",2.33200000000011
"sigma2=0.4,rho=0.4",0.4,0.4,72,"Proposed Method (ADVI)",2.11300000000006
"sigma2=0.4,rho=0.4",0.4,0.4,73,"Proposed Method (ADVI)",2.43299999999999
"sigma2=0.4,rho=0.4",0.4,0.4,74,"Proposed Method (ADVI)",2.40100000000007
"sigma2=0.4,rho=0.4",0.4,0.4,75,"Proposed Method (ADVI)",1.91499999999996
"sigma2=0.4,rho=0.4",0.4,0.4,76,"Proposed Method (ADVI)",1.94200000000001
"sigma2=0.4,rho=0.4",0.4,0.4,77,"Proposed Method (ADVI)",1.96000000000004
"sigma2=0.4,rho=0.4",0.4,0.4,78,"Proposed Method (ADVI)",1.96599999999989
"sigma2=0.4,rho=0.4",0.4,0.4,79,"Proposed Method (ADVI)",1.91000000000008
"sigma2=0.4,rho=0.4",0.4,0.4,80,"Proposed Method (ADVI)",1.96199999999999
"sigma2=0.4,rho=0.4",0.4,0.4,81,"Proposed Method (ADVI)",1.96199999999999
"sigma2=0.4,rho=0.4",0.4,0.4,82,"Proposed Method (ADVI)",1.9820000000002
"sigma2=0.4,rho=0.4",0.4,0.4,83,"Proposed Method (ADVI)",1.98700000000008
"sigma2=0.4,rho=0.4",0.4,0.4,84,"Proposed Method (ADVI)",1.92399999999998
"sigma2=0.4,rho=0.4",0.4,0.4,85,"Proposed Method (ADVI)",1.99000000000001
"sigma2=0.4,rho=0.4",0.4,0.4,86,"Proposed Method (ADVI)",1.97199999999998
"sigma2=0.4,rho=0.4",0.4,0.4,87,"Proposed Method (ADVI)",1.92200000000003
"sigma2=0.4,rho=0.4",0.4,0.4,88,"Proposed Method (ADVI)",1.9050000000002
"sigma2=0.4,rho=0.4",0.4,0.4,89,"Proposed Method (ADVI)",1.90599999999995
"sigma2=0.4,rho=0.4",0.4,0.4,90,"Proposed Method (ADVI)",1.91899999999987
"sigma2=0.4,rho=0.4",0.4,0.4,91,"Proposed Method (ADVI)",1.89100000000008
"sigma2=0.4,rho=0.4",0.4,0.4,92,"Proposed Method (ADVI)",1.93099999999981
"sigma2=0.4,rho=0.4",0.4,0.4,93,"Proposed Method (ADVI)",1.89200000000005
"sigma2=0.4,rho=0.4",0.4,0.4,94,"Proposed Method (ADVI)",1.92700000000013
"sigma2=0.4,rho=0.4",0.4,0.4,95,"Proposed Method (ADVI)",1.93399999999997
"sigma2=0.4,rho=0.4",0.4,0.4,96,"Proposed Method (ADVI)",1.93099999999981
"sigma2=0.4,rho=0.4",0.4,0.4,97,"Proposed Method (ADVI)",1.92100000000005
"sigma2=0.4,rho=0.4",0.4,0.4,98,"Proposed Method (ADVI)",1.91499999999996
"sigma2=0.4,rho=0.4",0.4,0.4,99,"Proposed Method (ADVI)",1.93100000000004
"sigma2=0.4,rho=0.4",0.4,0.4,100,"Proposed Method (ADVI)",1.92000000000007
"sigma2=0.4,rho=0.4",0.4,0.4,101,"Proposed Method (ADVI)",1.89400000000001
"sigma2=0.4,rho=0.4",0.4,0.4,102,"Proposed Method (ADVI)",1.90999999999985
"sigma2=0.4,rho=0.4",0.4,0.4,103,"Proposed Method (ADVI)",1.91699999999992
"sigma2=0.4,rho=0.4",0.4,0.4,104,"Proposed Method (ADVI)",1.9079999999999
"sigma2=0.4,rho=0.4",0.4,0.4,105,"Proposed Method (ADVI)",1.92499999999995
"sigma2=0.4,rho=0.4",0.4,0.4,106,"Proposed Method (ADVI)",1.91699999999992
"sigma2=0.4,rho=0.4",0.4,0.4,107,"Proposed Method (ADVI)",1.91399999999999
"sigma2=0.4,rho=0.4",0.4,0.4,108,"Proposed Method (ADVI)",1.95100000000002
"sigma2=0.4,rho=0.4",0.4,0.4,109,"Proposed Method (ADVI)",1.97499999999991
"sigma2=0.4,rho=0.4",0.4,0.4,110,"Proposed Method (ADVI)",1.98599999999988
"sigma2=0.4,rho=0.4",0.4,0.4,111,"Proposed Method (ADVI)",1.89300000000003
"sigma2=0.4,rho=0.4",0.4,0.4,112,"Proposed Method (ADVI)",1.91099999999983
"sigma2=0.4,rho=0.4",0.4,0.4,113,"Proposed Method (ADVI)",1.90899999999988
"sigma2=0.4,rho=0.4",0.4,0.4,114,"Proposed Method (ADVI)",1.90899999999988
"sigma2=0.4,rho=0.4",0.4,0.4,115,"Proposed Method (ADVI)",1.92599999999993
"sigma2=0.4,rho=0.4",0.4,0.4,116,"Proposed Method (ADVI)",1.92800000000011
"sigma2=0.4,rho=0.4",0.4,0.4,117,"Proposed Method (ADVI)",1.90499999999997
"sigma2=0.4,rho=0.4",0.4,0.4,118,"Proposed Method (ADVI)",1.91699999999992
"sigma2=0.4,rho=0.4",0.4,0.4,119,"Proposed Method (ADVI)",1.94200000000001
"sigma2=0.4,rho=0.4",0.4,0.4,120,"Proposed Method (ADVI)",1.91599999999994
"sigma2=0.4,rho=0.4",0.4,0.4,121,"Proposed Method (ADVI)",1.91699999999992
"sigma2=0.4,rho=0.4",0.4,0.4,122,"Proposed Method (ADVI)",1.91200000000003
"sigma2=0.4,rho=0.4",0.4,0.4,123,"Proposed Method (ADVI)",1.93100000000004
"sigma2=0.4,rho=0.4",0.4,0.4,124,"Proposed Method (ADVI)",1.92800000000011
"sigma2=0.4,rho=0.4",0.4,0.4,125,"Proposed Method (ADVI)",1.94000000000005
"sigma2=0.4,rho=0.4",0.4,0.4,126,"Proposed Method (ADVI)",1.94799999999987
"sigma2=0.4,rho=0.4",0.4,0.4,127,"Proposed Method (ADVI)",1.91699999999992
"sigma2=0.4,rho=0.4",0.4,0.4,128,"Proposed Method (ADVI)",1.95899999999983
"sigma2=0.4,rho=0.4",0.4,0.4,129,"Proposed Method (ADVI)",1.92499999999995
"sigma2=0.4,rho=0.4",0.4,0.4,130,"Proposed Method (ADVI)",1.91499999999996
"sigma2=0.4,rho=0.4",0.4,0.4,131,"Proposed Method (ADVI)",1.93899999999985
"sigma2=0.4,rho=0.4",0.4,0.4,132,"Proposed Method (ADVI)",1.91499999999996
"sigma2=0.4,rho=0.4",0.4,0.4,133,"Proposed Method (ADVI)",1.93499999999995
"sigma2=0.4,rho=0.4",0.4,0.4,134,"Proposed Method (ADVI)",1.95299999999997
"sigma2=0.4,rho=0.4",0.4,0.4,135,"Proposed Method (ADVI)",1.90899999999988
"sigma2=0.4,rho=0.4",0.4,0.4,136,"Proposed Method (ADVI)",1.92499999999995
"sigma2=0.4,rho=0.4",0.4,0.4,137,"Proposed Method (ADVI)",1.9190000000001
"sigma2=0.4,rho=0.4",0.4,0.4,138,"Proposed Method (ADVI)",1.93799999999987
"sigma2=0.4,rho=0.4",0.4,0.4,139,"Proposed Method (ADVI)",1.98399999999992
"sigma2=0.4,rho=0.4",0.4,0.4,140,"Proposed Method (ADVI)",1.97600000000011
"sigma2=0.4,rho=0.4",0.4,0.4,141,"Proposed Method (ADVI)",1.91499999999996
"sigma2=0.4,rho=0.4",0.4,0.4,142,"Proposed Method (ADVI)",1.92900000000009
"sigma2=0.4,rho=0.4",0.4,0.4,143,"Proposed Method (ADVI)",1.91000000000008
"sigma2=0.4,rho=0.4",0.4,0.4,144,"Proposed Method (ADVI)",1.91499999999996
"sigma2=0.4,rho=0.4",0.4,0.4,145,"Proposed Method (ADVI)",1.92100000000005
"sigma2=0.4,rho=0.4",0.4,0.4,146,"Proposed Method (ADVI)",1.9369999999999
"sigma2=0.4,rho=0.4",0.4,0.4,147,"Proposed Method (ADVI)",1.90499999999997
"sigma2=0.4,rho=0.4",0.4,0.4,148,"Proposed Method (ADVI)",1.94000000000005
"sigma2=0.4,rho=0.4",0.4,0.4,149,"Proposed Method (ADVI)",1.91500000000019
"sigma2=0.4,rho=0.4",0.4,0.4,150,"Proposed Method (ADVI)",1.90699999999993
"sigma2=0.4,rho=0.4",0.4,0.4,151,"Proposed Method (ADVI)",1.94000000000005
"sigma2=0.4,rho=0.4",0.4,0.4,152,"Proposed Method (ADVI)",1.91999999999985
"sigma2=0.4,rho=0.4",0.4,0.4,153,"Proposed Method (ADVI)",1.9559999999999
"sigma2=0.4,rho=0.4",0.4,0.4,154,"Proposed Method (ADVI)",1.9860000000001
"sigma2=0.4,rho=0.4",0.4,0.4,155,"Proposed Method (ADVI)",1.91399999999999
"sigma2=0.4,rho=0.4",0.4,0.4,156,"Proposed Method (ADVI)",1.92100000000005
"sigma2=0.4,rho=0.4",0.4,0.4,157,"Proposed Method (ADVI)",1.91200000000003
"sigma2=0.4,rho=0.4",0.4,0.4,158,"Proposed Method (ADVI)",1.9190000000001
"sigma2=0.4,rho=0.4",0.4,0.4,159,"Proposed Method (ADVI)",1.94299999999998
"sigma2=0.4,rho=0.4",0.4,0.4,160,"Proposed Method (ADVI)",1.93200000000002
"sigma2=0.4,rho=0.4",0.4,0.4,161,"Proposed Method (ADVI)",1.94600000000014
"sigma2=0.4,rho=0.4",0.4,0.4,162,"Proposed Method (ADVI)",1.90200000000004
"sigma2=0.4,rho=0.4",0.4,0.4,163,"Proposed Method (ADVI)",1.90599999999995
"sigma2=0.4,rho=0.4",0.4,0.4,164,"Proposed Method (ADVI)",1.91299999999978
"sigma2=0.4,rho=0.4",0.4,0.4,165,"Proposed Method (ADVI)",1.90599999999995
"sigma2=0.4,rho=0.4",0.4,0.4,166,"Proposed Method (ADVI)",1.90599999999995
"sigma2=0.4,rho=0.4",0.4,0.4,167,"Proposed Method (ADVI)",1.90699999999993
"sigma2=0.4,rho=0.4",0.4,0.4,168,"Proposed Method (ADVI)",1.91100000000006
"sigma2=0.4,rho=0.4",0.4,0.4,169,"Proposed Method (ADVI)",1.94000000000028
"sigma2=0.4,rho=0.4",0.4,0.4,170,"Proposed Method (ADVI)",1.92399999999998
"sigma2=0.4,rho=0.4",0.4,0.4,171,"Proposed Method (ADVI)",1.94000000000005
"sigma2=0.4,rho=0.4",0.4,0.4,172,"Proposed Method (ADVI)",1.95899999999983
"sigma2=0.4,rho=0.4",0.4,0.4,173,"Proposed Method (ADVI)",1.98300000000017
"sigma2=0.4,rho=0.4",0.4,0.4,174,"Proposed Method (ADVI)",1.94200000000001
"sigma2=0.4,rho=0.4",0.4,0.4,175,"Proposed Method (ADVI)",1.99200000000019
"sigma2=0.4,rho=0.4",0.4,0.4,176,"Proposed Method (ADVI)",1.91100000000006
"sigma2=0.4,rho=0.4",0.4,0.4,177,"Proposed Method (ADVI)",1.92999999999984
"sigma2=0.4,rho=0.4",0.4,0.4,178,"Proposed Method (ADVI)",1.92700000000013
"sigma2=0.4,rho=0.4",0.4,0.4,179,"Proposed Method (ADVI)",1.91599999999971
"sigma2=0.4,rho=0.4",0.4,0.4,180,"Proposed Method (ADVI)",1.9409999999998
"sigma2=0.4,rho=0.4",0.4,0.4,181,"Proposed Method (ADVI)",1.93199999999979
"sigma2=0.4,rho=0.4",0.4,0.4,182,"Proposed Method (ADVI)",1.94700000000012
"sigma2=0.4,rho=0.4",0.4,0.4,183,"Proposed Method (ADVI)",2.16300000000001
"sigma2=0.4,rho=0.4",0.4,0.4,184,"Proposed Method (ADVI)",2.02599999999984
"sigma2=0.4,rho=0.4",0.4,0.4,185,"Proposed Method (ADVI)",1.94999999999982
"sigma2=0.4,rho=0.4",0.4,0.4,186,"Proposed Method (ADVI)",2.08000000000038
"sigma2=0.4,rho=0.4",0.4,0.4,187,"Proposed Method (ADVI)",2.10699999999997
"sigma2=0.4,rho=0.4",0.4,0.4,188,"Proposed Method (ADVI)",1.93299999999999
"sigma2=0.4,rho=0.4",0.4,0.4,189,"Proposed Method (ADVI)",2.04600000000028
"sigma2=0.4,rho=0.4",0.4,0.4,190,"Proposed Method (ADVI)",2.10100000000011
"sigma2=0.4,rho=0.4",0.4,0.4,191,"Proposed Method (ADVI)",1.9369999999999
"sigma2=0.4,rho=0.4",0.4,0.4,192,"Proposed Method (ADVI)",1.93499999999995
"sigma2=0.4,rho=0.4",0.4,0.4,193,"Proposed Method (ADVI)",1.94499999999971
"sigma2=0.4,rho=0.4",0.4,0.4,194,"Proposed Method (ADVI)",1.97400000000016
"sigma2=0.4,rho=0.4",0.4,0.4,195,"Proposed Method (ADVI)",1.93900000000031
"sigma2=0.4,rho=0.4",0.4,0.4,196,"Proposed Method (ADVI)",1.96199999999999
"sigma2=0.4,rho=0.4",0.4,0.4,197,"Proposed Method (ADVI)",1.94599999999991
"sigma2=0.4,rho=0.4",0.4,0.4,198,"Proposed Method (ADVI)",1.96099999999979
"sigma2=0.4,rho=0.4",0.4,0.4,199,"Proposed Method (ADVI)",1.93600000000015
"sigma2=0.4,rho=0.4",0.4,0.4,200,"Proposed Method (ADVI)",1.94599999999991
