"eta_true","rep","model","intercept","eta_hat","abs_bias","disease_rate"
0.4,91,"no_intercept",NA,0.283441164092901,0.116558835907099,0.484444444444444
0.4,91,"with_intercept",-0.836454133796404,1.61730329272971,1.21730329272971,0.484444444444444
0.4,92,"no_intercept",NA,0.299250506686497,0.100749493313503,0.486666666666667
0.4,92,"with_intercept",0.115965584013935,0.10873684861371,0.29126315138629,0.486666666666667
0.4,93,"no_intercept",NA,-0.513123625967128,0.913123625967128,0.478888888888889
0.4,93,"with_intercept",-0.0808095309137177,-0.379829590151336,0.779829590151336,0.478888888888889
0.4,94,"no_intercept",NA,0.414013154113691,0.0140131541136915,0.521111111111111
0.4,94,"with_intercept",0.6577513789765,-0.597219375439727,0.997219375439727,0.521111111111111
0.4,95,"no_intercept",NA,0.764294390080598,0.364294390080598,0.526666666666667
0.4,95,"with_intercept",-0.303365176950799,1.22733757512026,0.827337575120265,0.526666666666667
0.4,96,"no_intercept",NA,0.490318333199143,0.0903183331991428,0.513333333333333
0.4,96,"with_intercept",-0.0754997907391737,0.605815983069711,0.205815983069711,0.513333333333333
0.4,97,"no_intercept",NA,0.517906097503614,0.117906097503614,0.527777777777778
0.4,97,"with_intercept",0.36848998175571,-0.0658610338062487,0.465861033806249,0.527777777777778
0.4,98,"no_intercept",NA,0.371526858983577,0.0284731410164235,0.505555555555556
0.4,98,"with_intercept",0.319493379328055,-0.120065236847913,0.520065236847913,0.505555555555556
0.4,99,"no_intercept",NA,0.715174673687851,0.315174673687851,0.507777777777778
0.4,99,"with_intercept",-0.543591949010937,1.59225632418271,1.19225632418271,0.507777777777778
0.4,100,"no_intercept",NA,0.36291943906743,0.0370805609325702,0.503333333333333
0.4,100,"with_intercept",-0.17900006633373,0.656874355798963,0.256874355798963,0.503333333333333
0.4,101,"no_intercept",NA,0.473369921033997,0.0733699210339968,0.496666666666667
0.4,101,"with_intercept",-0.503237429485813,1.26925696790354,0.869256967903537,0.496666666666667
0.4,102,"no_intercept",NA,1.04122738822837,0.641227388228369,0.563333333333333
0.4,102,"with_intercept",0.0473096704318346,0.96991981461802,0.56991981461802,0.563333333333333
0.4,103,"no_intercept",NA,0.638614677574095,0.238614677574095,0.486666666666667
