"sigma2","rho","algorithm","rep","eta_mean","posterior_sd","stan_mcse","draw_mcse","n_draws","q025","q975","abs_bias","covered","seconds"
0.4,0.1,"fullrank",1,1.86525626,0.209365537754932,NA,0.0066207196285156,1000,1.476436,2.3034075,0.26525626,TRUE,1.76700000000002
0.4,0.1,"fullrank",2,1.359544087,0.176568926767694,NA,0.00558359972597385,1000,1.052974,1.74760225,0.240455913,TRUE,1.757
0.4,0.1,"fullrank",3,1.588883781,0.215652650789016,NA,0.00681953559946198,1000,1.18358175,2.012391,0.011116219,TRUE,1.81200000000001
0.4,0.1,"fullrank",4,1.315394438,0.227932472767445,NA,0.00720785766659428,1000,0.931726875,1.789144,0.284605562,TRUE,1.755
0.4,0.1,"fullrank",5,1.5333361,0.223348610072858,NA,0.00706290320063057,1000,1.110603,1.985361,0.0666639,TRUE,1.77799999999999
0.4,0.1,"fullrank",6,1.652024099,0.246212256442895,NA,0.00778591518209014,1000,1.19257675,2.151047,0.0520240989999998,TRUE,1.77600000000001
0.4,0.1,"fullrank",7,1.600910054,0.222771892266797,NA,0.00704466578228728,1000,1.20584675,2.06518,0.000910053999999993,TRUE,1.76500000000001
0.4,0.1,"fullrank",8,1.80412947,0.260175002313535,NA,0.00822745597550348,1000,1.34596825,2.340825,0.20412947,TRUE,1.80000000000001
0.4,0.1,"fullrank",9,1.87630334,0.231055872507202,NA,0.00730662823880239,1000,1.4339835,2.33359975,0.27630334,TRUE,1.72399999999999
0.4,0.1,"fullrank",10,1.7322834,0.222177382478336,NA,0.00702586573205928,1000,1.3383695,2.16707225,0.1322834,TRUE,1.84399999999999
0.4,0.4,"fullrank",1,1.89162055,0.234309952431402,NA,0.00740953128128938,1000,1.461542,2.3641875,0.29162055,TRUE,1.72499999999999
0.4,0.4,"fullrank",2,1.839816752,0.303072644109101,NA,0.00958399851874372,1000,1.29217425,2.499066,0.239816752,TRUE,1.744
0.4,0.4,"fullrank",3,1.95344591,0.260102732898817,NA,0.00822517061594672,1000,1.49281225,2.4702445,0.35344591,TRUE,1.797
0.4,0.4,"fullrank",4,1.183053536,0.190864500463879,NA,0.00603566545936122,1000,0.831436025,1.5694015,0.416946464,FALSE,1.78399999999999
0.4,0.4,"fullrank",5,1.529385733,0.263706134288926,NA,0.00833912017311235,1000,1.0666925,2.115129,0.0706142670000001,TRUE,1.78200000000001
0.4,0.4,"fullrank",6,2.03424728,0.21772445478727,NA,0.00688505179446125,1000,1.633544,2.472708,0.43424728,FALSE,1.75299999999999
0.4,0.4,"fullrank",7,1.579475887,0.242986937557746,NA,0.00768392164351589,1000,1.1222735,2.05199225,0.020524113,TRUE,1.77500000000003
0.4,0.4,"fullrank",8,1.38338816,0.204111288076654,NA,0.00645456566472995,1000,1.0505755,1.82576025,0.21661184,TRUE,1.79300000000001
0.4,0.4,"fullrank",9,1.47403281,0.200861309764564,NA,0.00635179232660642,1000,1.100976,1.87261975,0.12596719,TRUE,1.73699999999997
0.4,0.4,"fullrank",10,2.1900129,0.235326474785403,NA,0.00744167654060058,1000,1.7674095,2.683604,0.5900129,FALSE,1.75600000000003
