"method","setting","sigma2","rho","rep","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta11",0,-0.03499083312,0.0736746204049291,-0.182950425,0.1153698,-0.03499083312,0.03499083312,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta12",0,0.054782125589,0.0851705908276371,-0.118014425,0.212068675,0.054782125589,0.054782125589,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta13",0,-0.000916319842199998,0.072742349413028,-0.1437609,0.142059575,-0.000916319842199998,0.000916319842199998,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta14",0,-0.0214277851871,0.0716032671362563,-0.15695985,0.118111525,-0.0214277851871,0.0214277851871,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta15",0,0.0051017255676,0.0802364757327819,-0.150754475,0.171702075,0.0051017255676,0.0051017255676,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta16",0,0.108060519063,0.0794809688405345,-0.0470437275,0.2579179,0.108060519063,0.108060519063,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta17",0,0.065466355703,0.0720049368088214,-0.0761220275,0.212396775,0.065466355703,0.065466355703,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta18",0,-0.052974500937,0.0735214969333714,-0.1983628,0.087806235,-0.052974500937,0.052974500937,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta19",0,0.0130802767303,0.0765027119628526,-0.130785675,0.167482625,0.0130802767303,0.0130802767303,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta20",0,-0.103177594017,0.0811203184615994,-0.2663292,0.046729005,-0.103177594017,0.103177594017,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"eta",1.6,1.88193121,0.240529344232825,1.4148145,2.37154,0.28193121,0.28193121,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta1",1,1.078380391,0.0707039345395679,0.94423075,1.219056,0.078380391,0.078380391,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta2",2,2.05890268,0.104640810514075,1.853067,2.2703035,0.0589026800000001,0.0589026800000001,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta3",3,2.96752903,0.129117744525338,2.7097685,3.20343125,-0.0324709699999999,0.0324709699999999,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta4",-4,-4.06169475,0.159174299687539,-4.35661425,-3.7463105,-0.06169475,0.06169475,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta5",-5,-5.01795886,0.194939199730819,-5.37608625,-4.62630475,-0.0179588600000002,0.0179588600000002,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta6",0,-0.037424789348,0.063621450365624,-0.164064175,0.08594957,-0.037424789348,0.037424789348,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta7",0,0.07057925021673,0.0665698875938743,-0.05594976,0.195945275,0.07057925021673,0.07057925021673,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta8",0,0.1170229557509,0.0612046896925081,-0.00641035875,0.23075525,0.1170229557509,0.1170229557509,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta9",0,-0.0706123969102,0.0550248434756985,-0.176305925,0.040242895,-0.0706123969102,0.0706123969102,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta10",0,0.0765048017734,0.0705420066841494,-0.061205215,0.2125105,0.0765048017734,0.0765048017734,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta11",0,-0.087644040434,0.0747336773761703,-0.2304786,0.067360535,-0.087644040434,0.087644040434,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta12",0,-0.040227729275,0.0761935333606588,-0.19292225,0.10043075,-0.040227729275,0.040227729275,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta13",0,-0.0101711003671,0.0717067462447591,-0.1521961,0.135419275,-0.0101711003671,0.0101711003671,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta14",0,0.06838282423025,0.0680672946401486,-0.059956315,0.19831675,0.06838282423025,0.06838282423025,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta15",0,0.0193067718893,0.0742967096392184,-0.1174222,0.170609175,0.0193067718893,0.0193067718893,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta16",0,0.0084104630605,0.0771259714861191,-0.14654095,0.1585457,0.0084104630605,0.0084104630605,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta17",0,0.0579760077001,0.0655232178112467,-0.0674553375,0.18603755,0.0579760077001,0.0579760077001,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta18",0,-0.052368086476,0.06277631785082,-0.1744776,0.0724572325,-0.052368086476,0.052368086476,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta19",0,-0.05286659421,0.0758570683982873,-0.196591275,0.1041112,-0.05286659421,0.05286659421,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"beta20",0,-0.0829207453423,0.080679670886119,-0.249999525,0.0649883825,-0.0829207453423,0.0829207453423,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,1,"eta",1.6,2.51810521,0.316809052351109,1.8976725,3.1594075,0.91810521,0.91810521,FALSE
