"setting","kind","rep","missing"
"10 Missing Spots","ignorable",180,10
"10 Missing Spots","ignorable",181,10
"10 Missing Spots","ignorable",182,10
"10 Missing Spots","ignorable",183,10
"10 Missing Spots","ignorable",184,10
"10 Missing Spots","ignorable",185,10
"10 Missing Spots","ignorable",186,10
"10 Missing Spots","ignorable",187,10
"10 Missing Spots","ignorable",188,10
"10 Missing Spots","ignorable",189,10
"10 Missing Spots","ignorable",190,10
"10 Missing Spots","ignorable",191,10
"10 Missing Spots","ignorable",192,10
"10 Missing Spots","ignorable",193,10
"10 Missing Spots","ignorable",194,10
"10 Missing Spots","ignorable",195,10
"10 Missing Spots","ignorable",196,10
"10 Missing Spots","ignorable",197,10
"10 Missing Spots","ignorable",198,10
"10 Missing Spots","ignorable",199,10
"10 Missing Spots","ignorable",200,10
"30 Missing Spots","ignorable",1,30
"30 Missing Spots","ignorable",2,30
"30 Missing Spots","ignorable",3,30
"30 Missing Spots","ignorable",4,30
"30 Missing Spots","ignorable",5,30
"30 Missing Spots","ignorable",6,30
"30 Missing Spots","ignorable",7,30
"30 Missing Spots","ignorable",8,30
"30 Missing Spots","ignorable",9,30
"30 Missing Spots","ignorable",10,30
"30 Missing Spots","ignorable",11,30
"30 Missing Spots","ignorable",12,30
"30 Missing Spots","ignorable",13,30
"30 Missing Spots","ignorable",14,30
"30 Missing Spots","ignorable",15,30
"30 Missing Spots","ignorable",16,30
"30 Missing Spots","ignorable",17,30
"30 Missing Spots","ignorable",18,30
"30 Missing Spots","ignorable",19,30
"30 Missing Spots","ignorable",20,30
"30 Missing Spots","ignorable",21,30
"30 Missing Spots","ignorable",22,30
"30 Missing Spots","ignorable",23,30
"30 Missing Spots","ignorable",24,30
"30 Missing Spots","ignorable",25,30
"30 Missing Spots","ignorable",26,30
"30 Missing Spots","ignorable",27,30
"30 Missing Spots","ignorable",28,30
"30 Missing Spots","ignorable",29,30
"30 Missing Spots","ignorable",30,30
"30 Missing Spots","ignorable",31,30
"30 Missing Spots","ignorable",32,30
"30 Missing Spots","ignorable",33,30
"30 Missing Spots","ignorable",34,30
"30 Missing Spots","ignorable",35,30
"30 Missing Spots","ignorable",36,30
"30 Missing Spots","ignorable",37,30
"30 Missing Spots","ignorable",38,30
"30 Missing Spots","ignorable",39,30
"30 Missing Spots","ignorable",40,30
"30 Missing Spots","ignorable",41,30
"30 Missing Spots","ignorable",42,30
"30 Missing Spots","ignorable",43,30
"30 Missing Spots","ignorable",44,30
"30 Missing Spots","ignorable",45,30
"30 Missing Spots","ignorable",46,30
"30 Missing Spots","ignorable",47,30
"30 Missing Spots","ignorable",48,30
"30 Missing Spots","ignorable",49,30
"30 Missing Spots","ignorable",50,30
"30 Missing Spots","ignorable",51,30
"30 Missing Spots","ignorable",52,30
"30 Missing Spots","ignorable",53,30
"30 Missing Spots","ignorable",54,30
"30 Missing Spots","ignorable",55,30
"30 Missing Spots","ignorable",56,30
"30 Missing Spots","ignorable",57,30
"30 Missing Spots","ignorable",58,30
"30 Missing Spots","ignorable",59,30
"30 Missing Spots","ignorable",60,30
"30 Missing Spots","ignorable",61,30
"30 Missing Spots","ignorable",62,30
"30 Missing Spots","ignorable",63,30
"30 Missing Spots","ignorable",64,30
"30 Missing Spots","ignorable",65,30
"30 Missing Spots","ignorable",66,30
"30 Missing Spots","ignorable",67,30
"30 Missing Spots","ignorable",68,30
"30 Missing Spots","ignorable",69,30
"30 Missing Spots","ignorable",70,30
"30 Missing Spots","ignorable",71,30
"30 Missing Spots","ignorable",72,30
"30 Missing Spots","ignorable",73,30
"30 Missing Spots","ignorable",74,30
"30 Missing Spots","ignorable",75,30
"30 Missing Spots","ignorable",76,30
"30 Missing Spots","ignorable",77,30
