"method","setting","kind","rep","missing","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta12",0,-0.000102561827400007,0.17539603053724,-0.3448903,0.341701175,-0.000102561827400007,0.000102561827400007,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta13",0,-0.061972657269,0.155753291551987,-0.344679375,0.2514786,-0.061972657269,0.061972657269,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta14",0,0.13277827812,0.174736142598748,-0.207155525,0.473790425,0.13277827812,0.13277827812,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta15",0,-0.043439547522,0.17009629429557,-0.380266625,0.28079945,-0.043439547522,0.043439547522,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta16",0,0.152322056676,0.152945091998339,-0.13190085,0.471832025,0.152322056676,0.152322056676,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta17",0,-0.206764445173,0.18641560844905,-0.557075425,0.170856325,-0.206764445173,0.206764445173,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta18",0,-0.23841537802,0.180395892243047,-0.59675745,0.114611575,-0.23841537802,0.23841537802,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta19",0,0.15472267241,0.174196070043131,-0.2126067,0.480168075,0.15472267241,0.15472267241,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta20",0,0.146353216665,0.180453840681283,-0.208503125,0.4971854,0.146353216665,0.146353216665,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"eta",1.6,1.558424646,0.309407665615415,1.02187875,2.2549765,-0.0415753540000001,0.0415753540000001,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta1",1,1.011892838,0.191672143421123,0.658880075,1.41517525,0.0118928380000001,0.0118928380000001,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta2",2,1.99565577,0.223022782173875,1.5570935,2.44191475,-0.00434423000000006,0.00434423000000006,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta3",3,3.29014299,0.324281063706838,2.648571,3.926781,0.29014299,0.29014299,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta4",-4,-4.21856999,0.398649462704284,-5.002492,-3.4143895,-0.21856999,0.21856999,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta5",-5,-5.30094763,0.476519812402901,-6.212433,-4.3749925,-0.30094763,0.30094763,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta6",0,0.0804356569567,0.18126925807205,-0.3000904,0.4163023,0.0804356569567,0.0804356569567,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta7",0,0.159586285102,0.199163933130098,-0.238374875,0.541195125,0.159586285102,0.159586285102,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta8",0,0.2158125443,0.159608987342862,-0.092368705,0.5323015,0.2158125443,0.2158125443,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta9",0,-0.125931475395,0.178397347195864,-0.48061375,0.223727525,-0.125931475395,0.125931475395,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta10",0,0.043207499603,0.146872662232887,-0.248350175,0.337685325,0.043207499603,0.043207499603,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta11",0,-0.37387994424,0.173341782928052,-0.7048071,-0.0467339675000001,-0.37387994424,0.37387994424,FALSE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta12",0,-0.1088270127357,0.180504301968039,-0.469865,0.257075575,-0.1088270127357,0.1088270127357,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta13",0,0.091010387906,0.187556317560778,-0.266303775,0.469302125,0.091010387906,0.091010387906,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta14",0,-0.0023429922037,0.156361347778437,-0.30748675,0.29563645,-0.0023429922037,0.0023429922037,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta15",0,0.07025470952,0.174833273803171,-0.257829325,0.416160925,0.07025470952,0.07025470952,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta16",0,-0.275954858771,0.150227462143862,-0.55062455,0.0245132099999999,-0.275954858771,0.275954858771,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta17",0,-0.0254630858791,0.190102276799384,-0.381216325,0.363266125,-0.0254630858791,0.0254630858791,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta18",0,-0.247543524761,0.178481512032134,-0.598738175,0.101819575,-0.247543524761,0.247543524761,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta19",0,-0.060093330606,0.172008890570424,-0.411431025,0.25530135,-0.060093330606,0.060093330606,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"beta20",0,0.30108316966,0.178338855978556,-0.055620845,0.6525852,0.30108316966,0.30108316966,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",4,10,"eta",1.6,1.760567185,0.358654533364877,1.14864225,2.5487515,0.160567185,0.160567185,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta1",1,0.831302063,0.178354864098209,0.502816325,1.20657075,-0.168697937,0.168697937,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta2",2,2.45489314,0.272905591926668,1.92252625,3.0006355,0.45489314,0.45489314,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta3",3,3.54164399,0.351433707063851,2.851614,4.2431285,0.54164399,0.54164399,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta4",-4,-4.65347443,0.441556810272896,-5.51278425,-3.759949,-0.65347443,0.65347443,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta5",-5,-6.14716029,0.548110990720643,-7.2164545,-5.0448325,-1.14716029,1.14716029,FALSE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta6",0,0.154412697304,0.172227793915157,-0.1947749,0.48458625,0.154412697304,0.154412697304,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta7",0,-0.179204907062,0.194180562329858,-0.5614558,0.185530825,-0.179204907062,0.179204907062,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta8",0,-0.0586047822634,0.164057554704428,-0.3851232,0.27401755,-0.0586047822634,0.0586047822634,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta9",0,0.06236949512,0.192806554366456,-0.32472055,0.450898875,0.06236949512,0.06236949512,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta10",0,-0.02622668886,0.168261789893898,-0.3632987,0.301668975,-0.02622668886,0.02622668886,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta11",0,-0.1051102118885,0.17510606914651,-0.44676505,0.238893725,-0.1051102118885,0.1051102118885,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta12",0,-0.180214616395,0.188809826992019,-0.548798825,0.19858295,-0.180214616395,0.180214616395,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta13",0,0.30565202327,0.182639148746991,-0.0327417925,0.67497385,0.30565202327,0.30565202327,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta14",0,-0.0022788611757,0.18498483022162,-0.363869475,0.3506197,-0.0022788611757,0.0022788611757,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta15",0,0.015024785238,0.181893774128657,-0.3387914,0.375683125,0.015024785238,0.015024785238,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta16",0,0.047080155934,0.178801843934035,-0.29980535,0.409185125,0.047080155934,0.047080155934,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta17",0,0.084404718719,0.200961032536971,-0.29381615,0.503833425,0.084404718719,0.084404718719,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta18",0,0.244134825822,0.205851907893079,-0.167998475,0.65353125,0.244134825822,0.244134825822,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta19",0,-0.0184227522629,0.177141216617696,-0.372068625,0.311068,-0.0184227522629,0.0184227522629,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"beta20",0,0.003145091466,0.176183429986649,-0.330104525,0.355171425,0.003145091466,0.003145091466,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",5,10,"eta",1.6,1.737902149,0.366088094422198,1.14034475,2.504127,0.137902149,0.137902149,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta1",1,0.830977394,0.163275819481036,0.53026405,1.1745155,-0.169022606,0.169022606,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta2",2,1.96072963,0.225698773996108,1.51955325,2.4128495,-0.0392703700000001,0.0392703700000001,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta3",3,3.07916533,0.29499921736835,2.49899225,3.65821225,0.0791653299999999,0.0791653299999999,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta4",-4,-4.38098087,0.394877395089027,-5.1475815,-3.59323025,-0.38098087,0.38098087,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta5",-5,-5.27778321,0.466511112006586,-6.1701855,-4.3477035,-0.27778321,0.27778321,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta6",0,0.113908017887,0.15436864784102,-0.199506125,0.401272575,0.113908017887,0.113908017887,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta7",0,0.130930173463,0.17530929331711,-0.20912415,0.47119435,0.130930173463,0.130930173463,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta8",0,0.0243735039199,0.160178376037947,-0.2840313,0.3323092,0.0243735039199,0.0243735039199,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta9",0,0.022010637793,0.173389543439182,-0.314360975,0.36142625,0.022010637793,0.022010637793,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta10",0,0.23273962991,0.144865584944537,-0.04606294,0.521261175,0.23273962991,0.23273962991,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta11",0,-0.16189931802021,0.172804136919091,-0.48591095,0.17586825,-0.16189931802021,0.16189931802021,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta12",0,-0.185774450672,0.157183592573984,-0.499006775,0.13652555,-0.185774450672,0.185774450672,TRUE
