"eta_true","sweeps","update","gen_scale","fit_scale","rep","eta_hat","eta_abs_bias","disease_rate"
0.4,100,"parallel","avg","avg",31,0.224849516982296,0.175150483017704,0.507777777777778
0.4,100,"parallel","avg","avg",32,0.568095901755925,0.168095901755925,0.517777777777778
0.4,100,"parallel","avg","avg",33,0.728807664724918,0.328807664724918,0.518888888888889
0.4,100,"parallel","avg","avg",34,0.483138380949015,0.0831383809490147,0.524444444444444
0.4,100,"parallel","avg","avg",35,0.813951196212305,0.413951196212305,0.517777777777778
0.4,100,"parallel","avg","avg",36,0.129687846454903,0.270312153545097,0.515555555555556
0.4,100,"parallel","avg","avg",37,0.526857277789788,0.126857277789788,0.508888888888889
0.4,100,"parallel","avg","avg",38,0.651525310844333,0.251525310844333,0.541111111111111
0.4,100,"parallel","avg","avg",39,0.665513522657073,0.265513522657073,0.488888888888889
0.4,100,"parallel","avg","avg",40,0.4366930451779,0.0366930451779002,0.551111111111111
0.4,100,"parallel","avg","avg",41,0.104275269049866,0.295724730950134,0.483333333333333
0.4,100,"parallel","avg","avg",42,0.427198454618705,0.0271984546187045,0.512222222222222
0.4,100,"parallel","avg","avg",43,0.41396968464501,0.0139696846450103,0.538888888888889
0.4,100,"parallel","avg","avg",44,0.0885597739100469,0.311440226089953,0.521111111111111
0.4,100,"parallel","avg","avg",45,0.665489369946625,0.265489369946625,0.505555555555556
0.4,100,"parallel","avg","avg",46,0.188654048874584,0.211345951125416,0.477777777777778
0.4,100,"parallel","avg","avg",47,0.488366692609256,0.0883666926092559,0.496666666666667
0.4,100,"parallel","avg","avg",48,0.230578986606954,0.169421013393046,0.537777777777778
0.4,100,"parallel","avg","avg",49,0.376695667474579,0.0233043325254207,0.54
0.4,100,"parallel","avg","avg",50,0.467110533160323,0.0671105331603233,0.48
0.4,100,"parallel","sum","sum",1,0.340778800280126,0.0592211997198736,0.535555555555556
0.4,100,"parallel","sum","sum",2,0.406754503935428,0.00675450393542787,0.525555555555556
0.4,100,"parallel","sum","sum",3,0.491478852055745,0.0914788520557453,0.526666666666667
0.4,100,"parallel","sum","sum",4,0.306657691076896,0.0933423089231039,0.531111111111111
0.4,100,"parallel","sum","sum",5,0.396069384508256,0.0039306154917445,0.557777777777778
0.4,100,"parallel","sum","sum",6,0.505310290437604,0.105310290437604,0.558888888888889
0.4,100,"parallel","sum","sum",7,0.407206619441957,0.00720661944195672,0.528888888888889
0.4,100,"parallel","sum","sum",8,0.317356323605247,0.082643676394753,0.546666666666667
0.4,100,"parallel","sum","sum",9,0.583120654191674,0.183120654191674,0.564444444444444
0.4,100,"parallel","sum","sum",10,0.284517081522988,0.115482918477012,0.557777777777778
0.4,100,"parallel","sum","sum",11,0.452732013539362,0.052732013539362,0.532222222222222
0.4,100,"parallel","sum","sum",12,0.375927556546613,0.0240724434533868,0.551111111111111
0.4,100,"parallel","sum","sum",13,0.455360563282724,0.055360563282724,0.563333333333333
0.4,100,"parallel","sum","sum",14,0.403981510920345,0.00398151092034521,0.556666666666667
0.4,100,"parallel","sum","sum",15,0.354493322193979,0.0455066778060206,0.521111111111111
0.4,100,"parallel","sum","sum",16,0.483131971309112,0.0831319713091119,0.553333333333333
0.4,100,"parallel","sum","sum",17,0.550525532099408,0.150525532099408,0.53
0.4,100,"parallel","sum","sum",18,0.541384264377045,0.141384264377045,0.54
0.4,100,"parallel","sum","sum",19,0.505709613248884,0.105709613248884,0.556666666666667
0.4,100,"parallel","sum","sum",20,0.401598808455658,0.0015988084556583,0.545555555555556
0.4,100,"parallel","sum","sum",21,0.413254933477756,0.0132549334777556,0.543333333333333
0.4,100,"parallel","sum","sum",22,0.231384322960359,0.168615677039641,0.52
0.4,100,"parallel","sum","sum",23,0.389971051005479,0.0100289489945212,0.51
0.4,100,"parallel","sum","sum",24,0.361463794607952,0.0385362053920482,0.518888888888889
0.4,100,"parallel","sum","sum",25,0.468361141702122,0.068361141702122,0.55
0.4,100,"parallel","sum","sum",26,0.329233032826724,0.0707669671732761,0.526666666666667
0.4,100,"parallel","sum","sum",27,0.456143133669154,0.0561431336691536,0.534444444444444
0.4,100,"parallel","sum","sum",28,0.409048721163718,0.00904872116371802,0.526666666666667
0.4,100,"parallel","sum","sum",29,0.312987198048657,0.0870128019513432,0.531111111111111
